m;x;y;z
2.00;-53.00;79.00;-91.00
2.00;13.00;-142.00;-177.00
2.00;-109.00;-103.00;-120.00
2.00;4.00;-96.00;110.00
4.00;222.00;-22.00;-236.00
2.00;222.00;83.00;240.00
3.00;60.00;-79.00;104.00
5.00;190.00;165.00;-120.00
2.00;93.00;-140.00;-168.00
3.00;156.00;158.00;-79.00
1.00;127.00;-35.00;-92.00
1.00;101.00;10.00;210.00
4.00;81.00;-126.00;220.00
4.00;-46.00;81.00;131.00
3.00;69.00;-102.00;-26.00
1.00;94.00;106.00;137.00
4.00;168.00;115.00;5.00
3.00;181.00;-62.00;102.00
5.00;-5.00;55.00;-118.00
3.00;105.00;-58.00;-64.00
4.00;137.00;80.00;234.00
2.00;170.00;-102.00;-52.00
2.00;-116.00;-41.00;-223.00
3.00;110.00;109.00;-102.00
5.00;166.00;6.00;-1.00
3.00;126.00;45.00;-119.00
1.00;-27.00;188.00;-93.00
1.00;268.00;-54.00;261.00
3.00;-8.00;195.00;216.00
5.00;248.00;-76.00;-232.00
3.00;-24.00;-18.00;-3.00
4.00;127.00;88.00;196.00
4.00;99.00;24.00;174.00
1.00;-28.00;201.00;101.00
2.00;284.00;-33.00;-65.00
1.00;274.00;22.00;29.00
4.00;241.00;9.00;221.00
4.00;184.00;206.00;208.00
2.00;91.00;146.00;58.00
4.00;3.00;96.00;74.00
4.00;-65.00;127.00;246.00
3.00;223.00;-95.00;20.00
3.00;230.00;140.00;-116.00
3.00;78.00;158.00;-8.00
2.00;49.00;194.00;217.00
5.00;247.00;207.00;105.00
3.00;253.00;104.00;63.00
4.00;46.00;106.00;-198.00
5.00;296.00;-76.00;228.00
5.00;142.00;177.00;58.00
2.00;261.00;-81.00;28.00
1.00;-11.00;177.00;67.00
3.00;123.00;215.00;128.00
4.00;113.00;-82.00;-14.00
5.00;190.00;-28.00;-5.00
5.00;228.00;197.00;96.00
5.00;143.00;-29.00;-230.00
2.00;-71.00;-75.00;208.00
4.00;83.00;65.00;-120.00
5.00;35.00;41.00;244.00
5.00;201.00;165.00;-91.00
5.00;246.00;46.00;161.00
3.00;-73.00;167.00;78.00
4.00;98.00;45.00;28.00
1.00;211.00;-57.00;-228.00
3.00;94.00;221.00;-92.00
4.00;164.00;90.00;82.00
5.00;84.00;159.00;12.00
3.00;124.00;-46.00;-122.00
2.00;290.00;197.00;255.00
3.00;-9.00;115.00;-106.00
1.00;246.00;157.00;47.00
3.00;-15.00;-13.00;149.00
4.00;163.00;-53.00;-214.00
3.00;-34.00;196.00;-31.00
4.00;78.00;28.00;155.00
4.00;327.00;-11.00;274.00
5.00;241.00;217.00;-7.00
2.00;293.00;195.00;189.00
3.00;299.00;221.00;251.00
5.00;-14.00;103.00;113.00
2.00;283.00;17.00;57.00
3.00;61.00;-33.00;-227.00
4.00;154.00;-47.00;-155.00
4.00;71.00;113.00;-188.00
4.00;285.00;229.00;-148.00
4.00;219.00;188.00;-230.00
3.00;162.00;229.00;-102.00
1.00;286.00;116.00;176.00
2.00;100.00;-30.00;103.00
4.00;125.00;126.00;48.00
5.00;203.00;74.00;11.00
1.00;-8.00;54.00;-193.00
2.00;129.00;231.00;263.00
4.00;275.00;30.00;-109.00
2.00;311.00;70.00;-9.00
5.00;247.00;14.00;109.00
5.00;-25.00;107.00;-242.00
1.00;-45.00;210.00;-6.00
5.00;271.00;155.00;168.00
2.00;131.00;191.00;127.00
1.00;91.00;65.00;-249.00
2.00;33.00;44.00;128.00
4.00;-13.00;196.00;-204.00
4.00;345.00;197.00;-151.00
4.00;14.00;220.00;24.00
4.00;279.00;-40.00;41.00
2.00;282.00;217.00;-65.00
3.00;114.00;69.00;260.00
2.00;155.00;221.00;-78.00
3.00;303.00;237.00;-238.00
5.00;47.00;28.00;41.00
2.00;166.00;70.00;115.00
1.00;25.00;113.00;-179.00
1.00;332.00;122.00;-144.00
5.00;-2.00;127.00;212.00
4.00;262.00;231.00;162.00
4.00;201.00;117.00;-145.00
2.00;340.00;270.00;122.00
4.00;122.00;209.00;183.00
3.00;227.00;68.00;-82.00
4.00;287.00;102.00;-122.00
2.00;276.00;40.00;164.00
2.00;103.00;164.00;-199.00
3.00;-5.00;239.00;46.00
2.00;319.00;267.00;-143.00
4.00;63.00;178.00;5.00
5.00;304.00;79.00;-213.00
3.00;156.00;204.00;-75.00
1.00;170.00;81.00;130.00
2.00;339.00;42.00;-12.00
3.00;295.00;25.00;-182.00
1.00;266.00;239.00;141.00
4.00;285.00;176.00;24.00
3.00;209.00;117.00;77.00
5.00;245.00;11.00;275.00
3.00;319.00;189.00;-219.00
2.00;335.00;207.00;176.00
3.00;158.00;110.00;-111.00
3.00;225.00;143.00;-85.00
2.00;161.00;163.00;134.00
1.00;55.00;188.00;85.00
4.00;102.00;93.00;163.00
4.00;87.00;311.00;-93.00
2.00;110.00;83.00;-222.00
1.00;359.00;184.00;190.00
1.00;258.00;304.00;-238.00
1.00;378.00;77.00;65.00
3.00;321.00;154.00;51.00
3.00;361.00;187.00;114.00
3.00;393.00;53.00;-222.00
4.00;393.00;269.00;137.00
1.00;220.00;112.00;-65.00
3.00;338.00;136.00;1.00
3.00;324.00;145.00;-203.00
5.00;181.00;322.00;145.00
3.00;300.00;294.00;-167.00
5.00;240.00;225.00;-46.00
3.00;31.00;14.00;239.00
4.00;325.00;194.00;77.00
1.00;326.00;165.00;-132.00
4.00;160.00;278.00;134.00
4.00;306.00;63.00;-119.00
4.00;227.00;249.00;-1.00
2.00;99.00;294.00;-159.00
4.00;126.00;179.00;4.00
1.00;193.00;256.00;124.00
1.00;193.00;293.00;-233.00
5.00;379.00;155.00;-225.00
3.00;218.00;172.00;-36.00
2.00;290.00;105.00;-190.00
5.00;55.00;330.00;96.00
4.00;200.00;24.00;-66.00
2.00;397.00;322.00;-227.00
5.00;46.00;32.00;93.00
5.00;392.00;223.00;-183.00
4.00;87.00;109.00;249.00
2.00;248.00;68.00;-137.00
2.00;292.00;319.00;231.00
1.00;420.00;257.00;-70.00
5.00;196.00;216.00;-135.00
3.00;343.00;224.00;-237.00
3.00;297.00;94.00;-38.00
4.00;351.00;332.00;-1.00
5.00;371.00;329.00;-135.00
2.00;291.00;176.00;-210.00
5.00;97.00;328.00;107.00
3.00;68.00;85.00;-180.00
3.00;296.00;66.00;197.00
3.00;404.00;137.00;1.00
1.00;125.00;230.00;173.00
1.00;223.00;120.00;182.00
2.00;176.00;173.00;54.00
1.00;406.00;62.00;-76.00
2.00;310.00;255.00;136.00
1.00;104.00;322.00;-203.00
5.00;367.00;341.00;79.00
4.00;310.00;57.00;81.00
5.00;310.00;133.00;100.00
5.00;340.00;259.00;-225.00
3.00;230.00;55.00;-114.00
3.00;110.00;182.00;-46.00
5.00;353.00;114.00;-97.00
2.00;64.00;137.00;166.00
5.00;361.00;226.00;4.00
4.00;274.00;64.00;184.00
4.00;314.00;329.00;-117.00
3.00;426.00;126.00;-59.00
4.00;287.00;221.00;-171.00
4.00;438.00;263.00;-58.00
5.00;456.00;292.00;227.00
2.00;87.00;260.00;255.00
1.00;342.00;353.00;-180.00
5.00;344.00;73.00;-183.00
5.00;176.00;260.00;-168.00
4.00;221.00;71.00;267.00
5.00;323.00;238.00;-34.00
4.00;133.00;294.00;135.00
3.00;116.00;154.00;-78.00
4.00;322.00;87.00;-193.00
2.00;233.00;84.00;-175.00
3.00;345.00;306.00;62.00
1.00;420.00;235.00;-230.00
4.00;440.00;352.00;169.00
1.00;367.00;366.00;-232.00
3.00;204.00;149.00;-224.00
5.00;444.00;197.00;120.00
4.00;214.00;124.00;211.00
3.00;80.00;187.00;-161.00
4.00;146.00;338.00;42.00
2.00;432.00;289.00;94.00
5.00;455.00;189.00;-111.00
1.00;155.00;288.00;235.00
5.00;322.00;181.00;46.00
4.00;177.00;232.00;-88.00
4.00;291.00;95.00;143.00
5.00;184.00;143.00;-57.00
1.00;321.00;199.00;-173.00
5.00;229.00;347.00;148.00
4.00;313.00;372.00;66.00
1.00;142.00;188.00;249.00
4.00;459.00;160.00;-137.00
1.00;299.00;278.00;146.00
1.00;309.00;413.00;41.00
3.00;170.00;212.00;-69.00
5.00;382.00;263.00;-29.00
4.00;371.00;119.00;-246.00
2.00;196.00;280.00;109.00
4.00;346.00;272.00;60.00
1.00;215.00;313.00;-193.00
3.00;182.00;235.00;266.00
4.00;335.00;372.00;48.00
3.00;219.00;157.00;152.00
5.00;481.00;312.00;-242.00
5.00;370.00;385.00;-27.00
5.00;180.00;142.00;100.00
3.00;464.00;120.00;139.00
3.00;143.00;268.00;-88.00
2.00;187.00;136.00;188.00
2.00;292.00;340.00;196.00
5.00;185.00;287.00;-12.00
1.00;475.00;122.00;1.00
2.00;276.00;178.00;-161.00
4.00;437.00;355.00;33.00
5.00;401.00;235.00;32.00
2.00;390.00;157.00;17.00
2.00;255.00;162.00;164.00
1.00;284.00;128.00;129.00
1.00;290.00;310.00;-191.00
2.00;428.00;228.00;-48.00
5.00;168.00;433.00;-182.00
4.00;229.00;188.00;-133.00
1.00;214.00;149.00;-141.00
2.00;490.00;188.00;54.00
2.00;200.00;231.00;-36.00
5.00;263.00;178.00;-77.00
2.00;436.00;188.00;95.00
5.00;168.00;324.00;-5.00
5.00;206.00;448.00;-85.00
4.00;526.00;187.00;-245.00
4.00;262.00;290.00;-194.00
2.00;266.00;195.00;-149.00
4.00;161.00;371.00;-200.00
5.00;313.00;299.00;197.00
2.00;306.00;344.00;177.00
1.00;503.00;376.00;114.00
3.00;311.00;361.00;-112.00
2.00;139.00;185.00;138.00
5.00;425.00;459.00;227.00
3.00;278.00;190.00;47.00
5.00;342.00;440.00;-68.00
5.00;497.00;201.00;-74.00
1.00;490.00;445.00;-146.00
1.00;459.00;175.00;-165.00
3.00;285.00;318.00;-80.00
3.00;231.00;304.00;-222.00
2.00;224.00;329.00;263.00
4.00;426.00;404.00;36.00
4.00;385.00;156.00;153.00
5.00;216.00;328.00;233.00
1.00;491.00;340.00;38.00
4.00;405.00;310.00;56.00
5.00;307.00;462.00;-16.00
4.00;210.00;382.00;-228.00
4.00;263.00;210.00;232.00
1.00;305.00;188.00;-242.00
2.00;443.00;290.00;-30.00
5.00;511.00;337.00;221.00
1.00;335.00;177.00;13.00
3.00;169.00;369.00;230.00
1.00;561.00;237.00;141.00
5.00;533.00;293.00;227.00
5.00;430.00;469.00;-15.00
5.00;435.00;340.00;-173.00
2.00;244.00;455.00;210.00
1.00;351.00;406.00;-153.00
2.00;220.00;320.00;-191.00
2.00;303.00;477.00;136.00
5.00;548.00;184.00;85.00
4.00;563.00;343.00;83.00
1.00;496.00;412.00;221.00
4.00;407.00;213.00;31.00
2.00;519.00;419.00;202.00
3.00;478.00;176.00;-148.00
3.00;406.00;254.00;235.00
3.00;263.00;403.00;-121.00
4.00;428.00;416.00;271.00
4.00;300.00;493.00;-114.00
5.00;336.00;265.00;51.00
2.00;215.00;451.00;133.00
